Error   2025-11-15 13:10:57  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:10:57  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:10:58  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:10:58  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:10:59  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:10:59  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:11:00  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:11:00  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:11:01  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:11:01  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:11:02  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:11:02  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:11:03  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:11:03  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:11:04  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:11:04  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:11:05  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:11:05  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:11:06  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:11:06  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2025-11-15 13:11:07  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2025-11-15 13:11:07  DevID:MV-CA013-A0UC(J06720615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
